time,value
2023-12-01 00:00:00,0.8646900000000001
2023-12-01 01:00:00,0.80711
2023-12-01 02:00:00,0.80033
2023-12-01 03:00:00,0.7918200000000001
2023-12-01 04:00:00,0.81062
2023-12-01 05:00:00,0.93457
2023-12-01 06:00:00,1.2187999999999999
2023-12-01 07:00:00,1.8614600000000001
2023-12-01 08:00:00,2.6564200000000002
2023-12-01 09:00:00,2.72197
2023-12-01 10:00:00,2.52515
2023-12-01 11:00:00,2.56819
2023-12-01 12:00:00,2.491
2023-12-01 13:00:00,2.48466
2023-12-01 14:00:00,2.70146
2023-12-01 15:00:00,2.81169
2023-12-01 16:00:00,3.26567
2023-12-01 17:00:00,3.24322
2023-12-01 18:00:00,2.68431
2023-12-01 19:00:00,2.54507
2023-12-01 20:00:00,1.54248
2023-12-01 21:00:00,1.2768199999999998
2023-12-01 22:00:00,1.11871
2023-12-01 23:00:00,1.014
2023-12-02 00:00:00,0.91162
2023-12-02 01:00:00,0.8598600000000001
2023-12-02 02:00:00,0.82004
2023-12-02 03:00:00,0.8005800000000001
2023-12-02 04:00:00,0.8390599999999999
2023-12-02 05:00:00,0.92228
2023-12-02 06:00:00,1.3138800000000002
2023-12-02 07:00:00,4.4745
2023-12-02 08:00:00,4.88922
2023-12-02 09:00:00,4.82329
2023-12-02 10:00:00,4.05568
2023-12-02 11:00:00,3.4704800000000002
2023-12-02 12:00:00,3.0202600000000004
2023-12-02 13:00:00,3.09715
2023-12-02 14:00:00,3.65677
2023-12-02 15:00:00,4.98534
2023-12-02 16:00:00,6.10764
2023-12-02 17:00:00,6.98242
2023-12-02 18:00:00,5.02778
2023-12-02 19:00:00,4.1092200000000005
2023-12-02 20:00:00,2.20492
2023-12-02 21:00:00,1.26332
2023-12-02 22:00:00,1.11864
2023-12-02 23:00:00,1.00491
2023-12-03 00:00:00,0.97008
2023-12-03 01:00:00,0.91661
2023-12-03 02:00:00,0.8873
2023-12-03 03:00:00,0.8573200000000001
2023-12-03 04:00:00,0.86246
2023-12-03 05:00:00,0.9384600000000001
2023-12-03 06:00:00,1.16743
2023-12-03 07:00:00,1.39997
2023-12-03 08:00:00,1.8869200000000002
2023-12-03 09:00:00,1.83277
2023-12-03 10:00:00,1.55443
2023-12-03 11:00:00,1.3007
2023-12-03 12:00:00,1.2385
2023-12-03 13:00:00,1.2306
2023-12-03 14:00:00,1.3760299999999999
2023-12-03 15:00:00,1.64654
2023-12-03 16:00:00,1.86499
2023-12-03 17:00:00,2.11969
2023-12-03 18:00:00,1.93912
2023-12-03 19:00:00,1.68256
2023-12-03 20:00:00,1.30518
2023-12-03 21:00:00,1.09053
2023-12-03 22:00:00,1.00752
2023-12-03 23:00:00,0.86903
